問題,回答內容,延伸閱讀或連結,相關法規,提供單位
創客俱樂部的英文翻譯,"翻譯成 Makereal Labs 就好囉！請注意，Makereal 是由 Make 跟 Real 合成的字，中間不加空格，也只有一個 R 喔！

註：原本的全名是 Makereal Labs NCTU。而如今因應合校，改名為 NYCU Makereal Labs (NCTU)。但是原本的全名依然偶爾會被作為簡稱使用喔！更多詳情，請至社團入口網參考創客俱樂部的組織章程。","社團入口網： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 
國立陽明交通大學學生社團設置及輔導辦法： https://osa.nycu.edu.tw/osa/ch/app/data/doc?module=nycu0014&detailNo=1187646291388141568&type=s ","〈Makereal Labs 組織章程〉（2024 年修訂）
〈國立陽明交通大學學生社團設置及輔導辦法〉",
創客俱樂部是否有指導老師,有喔！是任職於電機工程學系與電子所的陳建安助教。歡迎大家選修他的電子實驗課！,,,
創客俱樂部的指導老師是誰,是任職於電機工程學系與電子所的陳建安助教。歡迎大家選修他的電子實驗課！,,,
創客俱樂部的指導老師背景,陳建安助教任職於電機工程學系與電子所，並且為電機系開設電子實驗課程。歡迎大家選修！,,,
創客俱樂部的社長是誰,創客俱樂部的第九屆社長是簡惠心，任期自 112 下半學年度至 113 上半學年度。最新資訊請見創客社 Facebook 與官方網頁！,,,
創客俱樂部社長的聯絡方式,"現任（第九屆）社長簡惠心的校務信箱是 comet112511092.ee12@nycu.edu.tw
第九屆幹部任期自 112 下半學年度至 113 上半學年度",,,
創客俱樂部的副社長是誰,創客俱樂部的第九屆副社長是潘仰祐，任期自 112 下半學年度至 113 上半學年度。最新資訊請見創客社 Facebook 與官方網頁！,,,
創客俱樂部副社長的聯絡方式,"現任（第九屆）副社長的校務信箱是 kevinpan.cs12@nycu.edu.tw
（註：第九屆幹部任期自 112 下半學年度至 113 上半學年度）",,,
創客俱樂部有多少成員,創客社是有一百人左右的大社團喔！每個學期，我們都會有十幾二十人加入社團。,,,
創客俱樂部的歷屆社長,第一屆的社長是資工系張楹翔學長，第二第三屆的社長是機械系王毓凱學長，第四屆的社長是電機系沈俊宇學長，第五屆的社長是資工系朱庭怡學姐，第六屆的社長是資工系林芷瑩學姐，第七屆的社長是電機系曾子薰學姐，第八屆的社長是電機系陳冠勳學長。然而追溯到好幾屆以前，最值得我們紀念的是第四屆的電機系沈俊宇學長：他成功帶領了創客俱樂部走過倒社危機，但他接幹的時候才大一而已！時至今日，他依然不時蒞臨創客社，而創客社也在 112 學年度的社團評鑑中拿到了優等呢！,交大校區課活組 FB 112 學年度社團評鑑結果： https://www.facebook.com/photo/?fbid=415513707928549&set=a.126539426825980,,
創客俱樂部的社友有誰,有許多交大校友。據瞭解，第0、第1屆學長姐多半在矽谷活動，在台灣的學長姐目前在多半從事半導體、晶片設計、演算法、網頁全端等領域，如聯發科、聯詠、微軟、趨勢科技等一線公司，以及投入新創等，他們之中的許多人已在國外獲得工作資格，可謂人生勝利組。,,,
創客俱樂部歷史,"創客俱樂部一開始是為了要打比賽而成型的社團，由機械系學長岳朝國主揪。第一屆社長是資工系學長張楹翔。
第二、三屆時，有與聯發科下的卓爾榮譽學會，以及工研院合作過，並舉辦創客方程式（一日營的形式）。但營隊辦完之後，社團曾經有虧損而差點倒社，由時任社長（機械系學長王毓愷）將缺額補上後，交給下一屆。
第四屆社長電機系學長沈俊宇。透過創客營的模式，召集電機系中對創客有興趣的學長，並累積了一些資產，使得本社起死回生。
第五、六屆時，由於受到疫情影響，2020 暑創停辦，而 2021 寒創、2021 暑創與 2022 寒創轉為線上非同步，建立了完善的線上制度。但沒有實體營隊下，小隊員間與工人間都沒有互動，所以當時社團凝聚力稍嫌不足。從第六屆開始，本社保持在社團評鑑甲等甚至優等。
第七屆時，社團回歸實體，並且擴展了社交媒體上的觸及（如 Instagram 上積極接觸各社團）。自此本社平穩發展至今。",,,
創客俱樂部簡介,國立陽明交通大學創客俱樂部是一個積極新創、內容齊全、學術實力雄厚、創社特色鮮明，在本校內具有重要影響力與競爭力的學藝性社團，在多個科技領域具有前瞻的學術實力，擁有社團界一流的實驗室與師資力量，各種排名均位於本校前列。歡迎大家加入創客俱樂部。,,,
創客俱樂部成立多久了,2015 年為第 0 屆的籌備型社團、2016 為第 1 屆的正式社團。時至今日，我們已即將邁入第十年了呢！,,,
創客俱樂部社辦在哪裡,"依照〈Makereal Labs 組織章程〉第 2 條第 1 項：
> 本社以國立陽明交通大學交大校區（新竹市大學路 1001 號）工程四館 417B-1 室為實驗室與學習場所；以活動中心 528 室為社團辦公室。
其他細節，也可以參閱創客俱樂部官網。","創客俱樂部官網： https://makereallabs.nycu.me 
社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ",〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部平常社辦會有人在嗎 ,由於器械擺放位置與活動內容，位在活動中心的社辦平常不會有太多人，到位在工程四館 417B-1 的實驗室比較容易找到人喔！,,,
創客俱樂部的網站,"社團官網： https://makereallabs.nycu.me 

另請參閱：
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu ",,,
